Κατηγορία,Όνομα,Τιμή,Αντιπρόταση 1,Αντιπρόταση 2,Αντιπρόταση 3,Οινοποιείο,Περιοχή,Αλκοόλ,Ποικιλία,Ξηρότητα,Ορυκτότητα,Οξύτητα,Σώμα,Σχόλια
Λευκά,Rousanne | Manousakis Winery | PGI Crete,60,Amayana | Garves Silva Vineyards | Leyda Valley,Vostilidi Orange | Sclavos Wines | PGI Slopes of Enos,Les Cassagnes de la Nerthe Cote Du Rhône | Chateau la Nerthe | Rhône Valley,,,,,,,,,
Λευκά,Thrapsathiri | Amariotakis winery | PGI Crete,34,Moschato Spinas | Kourkoulou Winery | PGI Crete,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,Noemvris Late Harvest | Moropoulos Estate | PGI Arcadia,,,,,,,,,
Λευκά,Malva de Crete | Idaia Winery | PGI Crete,30,Dafnios | Douloufakis Estate | PGI Crete,Savatiano | Anastasia Fragou Winery | PGI Attika,Cono Sur | Bicicleta | Chile,,,,,,,,,
Λευκά,Sera | Silva Daskalakis Winery | PGI Crete,33,Moschato Spinas | Strataridakis Winery | PGI Crete,Malagouzia | Zafeirakis Estate | PGI Tyrnavos,Blanc de Gris | Tselepos Estate | PGI Arcadia,,,,,,,,,
Λευκά,Sophia | Efrosini Winery | PGI Crete,41,Aori | Muscat of Spinas | PGI Crete,Liatiko Blanc de Noir | Haralambakis Winery | PGI Crete,Idisma Drios Chardonnay | Wine Art Estate | PGI Drama,,,,,,,,,
Λευκά,Theros | Theros Wine Collectiva | PGI Crete,42,Southern Ocean | Marlborough,Aori | Muscat of Spinas | PGI Crete,Liatiko Blanc de Noir | Haralambakis Winery | PGI Crete,,,,,,,,,
Λευκά,Efivos | Gavalas Wines | PGI Crete,31,Queen White | Lyrarakis Wines | Vidiano | PGI Crete,Aspra Harakia | Strataridakis Winery | PGI Crete,Tachtas | Douloufakis Estate | PGI Crete,,,,,,,,,
Λευκά,Droumo | Kir-Yianni Estate | PGI Makedonia,47,Domaine Champalou | Vouvray | Loire,Jules Taylor | SB | Marlborough,Vilana| Moinoterra | PGI Crete,,,,,,,,,
Λευκά,Sauvignon Blanc Fume | Domaine Gerovasileiou | PGI Epanomi,45,Sauvignon Blanc | Alpha Estate | PGI Florina,Private Bin | Villa Maria | Marlborough,Vilana| Moinoterra | PGI Crete,,,,,,,,,
Λευκά,Sauvignon Blanc | Alpha Estate | PGI Florina,45,Sauvignon Blanc Fume | Domaine Gerovasileiou | PGI Epanomi,Private Bin | Villa Maria | Marlborough,Vilana| Moinoterra | PGI Crete,,,,,,,,,
Λευκά,Arktos Pnoe | Arktos Elevation Vineyards | PGI Amyndeon,35,Melissinos | Paterianakis Winery | PGI Crete,Sauvignon Blanc Kryovrisi | Domaine Hatzimichalis | PGI Atalanti Valley,Meranichta | Gofas Estate | PGI Peloponesse,,,,,,,,,
Λευκά,Techni Alipias | Wine Art Estate | PGI Drama,32,Vilana | Gavalas Wines | PGI Crete,Apla White | Oenops Wines | PGI Drama,Syraho| Rouvalis Estate | PGI Peloponesse,,,,,,,,,
Λευκά,Malagouzia | Domaine Gerovasiliou | PGI Epanomi,46,Vilana| Moinoterra | PGI Crete,Droumo | Kir-Yianni Estate | PGI Makedonia,Sauvignon Blanc Fume | Domaine Gerovasileiou | PGI Epanomi,,,,,,,,,
Λευκά,Malagouzia | Zafeirakis Estate | PGI Tyrnavos,33,Moschato Spinas | Strataridakis Winery | PGI Crete,Sera | Silva Daskalakis Winery | PGI Crete,Blanc de Gris | Tselepos Estate | PGI Arcadia,,,,,,,,,
Λευκά,Orange Wine | Anatolikos Vineyards | Thrace,80,Inatos | Moschato Spinas Oaked | Strataridakis Winery | PGI Crete,Iliana Malihin | Field Blend | PGI Rethymno,Santorini | Vassaltis Winery | PDO Santorini,,,,,,,,,
Λευκά,Apla White | Oenops Wines | PGI Drama,32,Vilana | Gavalas Wines | PGI Crete,Techni Alipias | Wine Art Estate | PGI Drama,Syraho| Rouvalis Estate | PGI Peloponesse,,,,,,,,,
Λευκά,Museum Collection | Domaine Gerovasiliou | PGI Epanomi,165,Gramina | Vassaltis Winery | PDO Santorini,Terrasea | Mikra Thira Winery | PDO Santorini,Nykteri Grand Reserve | Sigalas Winery | PDO Santorini,,,,,,,,,
Λευκά,Blanc des Coteaux cuvée Amphora | Thymiopoulos winery | PGI Drama,66,Ovilos | Vivlia Chora Estate | PGI Pangeo,Thalassitis | Gaia Wines | PDO Santorini,Vostilidi Orange | Sclavos Wines | PGI Slopes of Enos,,,,,,,,,
Λευκά,Plano Assyrtiko | Wine Art Estate | PGI Drama,36,Diamantopetra | Diamantakis Winery | PGI Crete,Crispy Assyrtiko | Muses Estate | PGI Thebes,Salto | Domaine Skouras | PGI Peloponesse,,,,,,,,,
Λευκά,Akrathos Assyrtiko | Newlands Winery | PGI Chalkidiki,40,Aspros Lagos Oak Barel | Douloufakis Estate | PGI Crete,Soave Classico | Gini Winery | DOC Soave Classico Italy,Gustave Lorentz | Riesling | AOC Alsace,,,,,,,,,
Λευκά,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,34,Moschato Spinas | Kourkoulou Winery | PGI Crete,Thrapsathiri | Amariotakis winery | PGI Crete,Noemvris Late Harvest | Moropoulos Estate | PGI Arcadia,,,,,,,,,
Λευκά,Kallos Thalassino | 1979 Winery | sur lie | Retsina Traditional Designation,57,Orange de Noir | Douraki Winery | PGI Crete,Seventeen | Aoton Winery | PGI Attica,L’Exuberance | Clos Cantenac | St Emilion Bordeaux,,,,,,,,,
Λευκά,Ovilos | Vivlia Chora Estate | PGI Pangeo,69,Thalassitis | Gaia Wines | PDO Santorini,Blanc des Coteaux cuvée Amphora | Thymiopoulos winery | PGI Drama,Montes| Outer Limits | DO Zapallar,,,,,,,,,
Λευκά,Lagotopos Single Vineyard “AG” | Domaine Michailidis | PGI Drama,98,St. Obéissance white | Domaine de Kalathas | PGI Tinos,10+12 | Domaine de Kalathas | PGI Tinos,Pieropan Soave La Rocca | Pieropan | Soave Classico DOC,,,,,,,,,
Λευκά,Idisma Drios Chardonnay | Wine Art Estate | PGI Drama,41,Aori | Muscat of Spinas | PGI Crete,Liatiko Blanc de Noir | Haralambakis Winery | PGI Crete,Sophia | Efrosini Winery | PGI Crete,,,,,,,,,
Λευκά,Viogner | Domaine Gerovasiliou | PGI Epanomi,49,Chronos Xinomavro Blanc de Noir | Argyrakis Wines | Naoussa,Topos Cuvée | Seiradi | PDO Paros,Zakynthino | Sclavos Wines | PDO Cephalonia,,,,,,,,,
Λευκά,Chronos Xinomavro Blanc de Noir | Argyrakis Wines | Naoussa,48,Zakynthino | Sclavos Wines | PDO Cephalonia,Clarendelle Blanc By Haut-Brion | Clarence Dillon | Bordeaux,Droumo | Kir-Yianni Estate | PGI Makedonia,,,,,,,,,
Λευκά,Vindiano | Oenops Wines | PGI Drama,37,Lichnos sur lie| Douraki Winery | PGI Crete,Hesperis Oaked | Idaia Winery | PGI Crete,Diamantopetra | Diamantakis Winery | PGI Crete,,,,,,,,,
Λευκά,Savatiano | Anastasia Fragou Winery | PGI Attika,30,Dafnios | Douloufakis Estate | PGI Crete,Malva de Crete | Idaia Winery | PGI Crete,Cono Sur | Bicicleta | Chile,,,,,,,,,
Λευκά,Crispy Assyrtiko | Muses Estate | PGI Thebes,36,Diamantopetra | Diamantakis Winery | PGI Crete,Plano Assyrtiko | Wine Art Estate | PGI Drama,Salto | Domaine Skouras | PGI Peloponesse,,,,,,,,,
Λευκά,Seventeen | Aoton Winery | PGI Attica,56,Orange de Noir | Douraki Winery | PGI Crete,Kallos Thalassino | 1979 Winery | sur lie | Retsina Traditional Designation,L’Exuberance | Clos Cantenac | St Emilion Bordeaux,,,,,,,,,
Λευκά,Sauvignon Blanc Kryovrisi | Domaine Hatzimichalis | PGI Atalanti Valley,35,Melissinos | Paterianakis Winery | PGI Crete,Arktos Pnoe | Arktos Elevation Vineyards | PGI Amyndeon,Meranichta | Gofas Estate | PGI Peloponesse,,,,,,,,,
Λευκά,Chardonnay | Domaine Katsaros | PGI Crania,51,Topos Cuvée | Seiradi | PDO Paros,"Crasto Superior White | Quinta do Crasto | Cima Corgo, Douro Valley",Viogner | Domaine Gerovasiliou | PGI Epanomi,,,,,,,,,
Λευκά,Blanc de Gris | Tselepos Estate | PGI Arcadia,33,Moschato Spinas | Strataridakis Winery | PGI Crete,Sera | Silva Daskalakis Winery | PGI Crete,Malagouzia | Zafeirakis Estate | PGI Tyrnavos,,,,,,,,,
Λευκά,Optimum Single Vineyard | NOVUS Leonidas Nassiakos | PDO Mantinia,33,Moschato Spinas | Strataridakis Winery | PGI Crete,Sera | Silva Daskalakis Winery | PGI Crete,Malagouzia | Zafeirakis Estate | PGI Tyrnavos,,,,,,,,,
Λευκά,Noemvris Late Harvest | Moropoulos Estate | PGI Arcadia,34,Moschato Spinas | Kourkoulou Winery | PGI Crete,Thrapsathiri | Amariotakis winery | PGI Crete,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,,,,,,,,,
Λευκά,Thea Fine Lees | Semeli Winery | PDO Mantineia,39,Aspros Lagos Oak Barel | Douloufakis Estate | PGI Crete,Akrathos Assyrtiko | Newlands Winery | PGI Chalkidiki,Soave Classico | Gini Winery | DOC Soave Classico Italy,,,,,,,,,
Λευκά,Tomi | Troupis Winery | PDO Mantinia,34,Moschato Spinas | Kourkoulou Winery | PGI Crete,Thrapsathiri | Amariotakis winery | PGI Crete,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,,,,,,,,,
Λευκά,Viogner Eclectique | Domaine Skouras | PGI Peloponnese,77,Chablis 1er Cru ‘Les Fourneaux’| L&C Poilut | AC Chablis,Santorini | Vassaltis Winery | PDO Santorini,Sancerre Le Tournebride | Vincent Gaudry | A.O.C. Sancerre,,,,,,,,,
Λευκά,Syraho| Rouvalis Estate | PGI Peloponesse,32,Vilana | Gavalas Wines | PGI Crete,Techni Alipias | Wine Art Estate | PGI Drama,Apla White | Oenops Wines | PGI Drama,,,,,,,,,
Λευκά,Roditis Natural Biodynamic | Sant’or Winery | PGI Achaia,31,Queen White | Lyrarakis Wines | Vidiano | PGI Crete,Aspra Harakia | Strataridakis Winery | PGI Crete,Tachtas | Douloufakis Estate | PGI Crete,,,,,,,,,
Λευκά,Dialogos | Domaine Two Heights | PGI Peloponesse,34,Moschato Spinas | Kourkoulou Winery | PGI Crete,Thrapsathiri | Amariotakis winery | PGI Crete,Kallos | 1979 Winery | sur lie | Retsina Traditional Designation,,,,,,,,,
Λευκά,Sklava | Zacharias Winery | PGI Peloponesse,32,Vilana | Gavalas Wines | PGI Crete,Techni Alipias | Wine Art Estate | PGI Drama,Apla White | Oenops Wines | PGI Drama,,,,,,,,,
Λευκά,Meranichta | Gofas Estate | PGI Peloponesse,35,Melissinos | Paterianakis Winery | PGI Crete,Arktos Pnoe | Arktos Elevation Vineyards | PGI Amyndeon,Sauvignon Blanc Kryovrisi | Domaine Hatzimichalis | PGI Atalanti Valley,,,,,,,,,
Λευκά,Salto | Domaine Skouras | PGI Peloponesse,36,Diamantopetra | Diamantakis Winery | PGI Crete,Plano Assyrtiko | Wine Art Estate | PGI Drama,Crispy Assyrtiko | Muses Estate | PGI Thebes,,,,,,,,,
Λευκά,Santorini | Vassaltis Winery | PDO Santorini,79,Inatos | Moschato Spinas Oaked | Strataridakis Winery | PGI Crete,Orange Wine | Anatolikos Vineyards | Thrace,Iliana Malihin | Field Blend | PGI Rethymno,,,,,,,,,
Λευκά,Orycton | Kyanos Winery | PDO Santorini,141,Ribolla | Marjan Simcic | Opoka Medana Jama Cru,Sauvignon Blanc | Marjan Simcic | Opoka Jordano Cru,Rombola R | Gentilini Wines | PDO Cephalonia,,,,,,,,,
Λευκά,Terrasea | Mikra Thira Winery | PDO Santorini,155,Louroi Platia | Karamolegos Winery | PDO Santorini,Gramina | Vassaltis Winery | PDO Santorini,Museum Collection | Domaine Gerovasiliou | PGI Epanomi,,,,,,,,,
Λευκά,Gramina | Vassaltis Winery | PDO Santorini,160,Museum Collection | Domaine Gerovasiliou | PGI Epanomi,Terrasea | Mikra Thira Winery | PDO Santorini,Louroi Platia | Karamolegos Winery | PDO Santorini,,,,,,,,,
Λευκά,Alcyone cuvee mythologique | Vassaltis Winery | PDO Santorini,128,Afoura | Anydrous Winery | PDO Santorini,Rombola R | Gentilini Wines | PDO Cephalonia,Chablis 1er Cru ‘Vaillon’| J. Moreau & Fils | AC Chablis,,,,,,,,,
Λευκά,Thalassitis | Gaia Wines | PDO Santorini,70,Ovilos | Vivlia Chora Estate | PGI Pangeo,Montes| Outer Limits | DO Zapallar,Blanc des Coteaux cuvée Amphora | Thymiopoulos winery | PGI Drama,,,,,,,,,
Λευκά,Afoura | Anydrous Winery | PDO Santorini,122,Chablis 1er Cru ‘Vaillon’| J. Moreau & Fils | AC Chablis,Santorini Cuvee Monsignori | Argyros Estate | PDO Santorini,Alcyone cuvee mythologique | Vassaltis Winery | PDO Santorini,,,,,,,,,
Λευκά,Louroi Platia | Karamolegos Winery | PDO Santorini,151,Terrasea | Mikra Thira Winery | PDO Santorini,Gramina | Vassaltis Winery | PDO Santorini,Orycton | Kyanos Winery | PDO Santorini,,,,,,,,,
Λευκά,Santorini Argyros | Argyros Estate | PDO Santorini,83,Iliana Malihin | Field Blend | PGI Rethymno,Sol de Sol | Vina Aquitania | Maipo Valley,Inatos | Moschato Spinas Oaked | Strataridakis Winery | PGI Crete,,,,,,,,,
Λευκά,Santorini Cuvee Monsignori | Argyros Estate | PDO Santorini,117,Chablis 1er Cru ‘Vaillon’| J. Moreau & Fils | AC Chablis,Golden Egg | Tony Bish Wines | Hawke’s Bay,Afoura | Anydrous Winery | PDO Santorini,,,,,,,,,
Λευκά,Nykteri Grand Reserve | Sigalas Winery | PDO Santorini,175,Museum Collection | Domaine Gerovasiliou | PGI Epanomi,Gramina | Vassaltis Winery | PDO Santorini,Terrasea | Mikra Thira Winery | PDO Santorini,,,,,,,,,
Λευκά,Assyrtiko de Louros | Hatzidakis Winery Vignes Centenaires | PDO Santorini,465,Côte de Beaune,RARE Clos Stegasta | T-Oinos Winery | PGI Cyclades,Baron de L | Domaine de Ladoucette | Pouilly Fume,,,,,,,,,
Λευκά,Topos Cuvée | Seiradi | PDO Paros,50,"Crasto Superior White | Quinta do Crasto | Cima Corgo, Douro Valley",Viogner | Domaine Gerovasiliou | PGI Epanomi,Chardonnay | Domaine Katsaros | PGI Crania,,,,,,,,,
Λευκά,Zakynthino | Sclavos Wines | PDO Cephalonia,48,Chronos Xinomavro Blanc de Noir | Argyrakis Wines | Naoussa,Clarendelle Blanc By Haut-Brion | Clarence Dillon | Bordeaux,Droumo | Kir-Yianni Estate | PGI Makedonia,,,,,,,,,
Λευκά,Rombola R | Gentilini Wines | PDO Cephalonia,135,Ribolla | Marjan Simcic | Opoka Medana Jama Cru,Sauvignon Blanc | Marjan Simcic | Opoka Jordano Cru,Orycton | Kyanos Winery | PDO Santorini,,,,,,,,,
Λευκά,Vostilidi Orange | Sclavos Wines | PGI Slopes of Enos,62,Les Cassagnes de la Nerthe Cote Du Rhône | Chateau la Nerthe | Rhône Valley,Amayana | Garves Silva Vineyards | Leyda Valley,Rousanne | Manousakis Winery | PGI Crete,,,,,,,,,
Λευκά,RARE Clos Stegasta | T-Oinos Winery | PGI Cyclades,377,Côte de Beaune,Assyrtiko de Louros | Hatzidakis Winery Vignes Centenaires | PDO Santorini,Baron de L | Domaine de Ladoucette | Pouilly Fume,,,,,,,,,
Λευκά,St. Obéissance white | Domaine de Kalathas | PGI Tinos,97,10+12 | Domaine de Kalathas | PGI Tinos,Lagotopos Single Vineyard “AG” | Domaine Michailidis | PGI Drama,Pieropan Soave La Rocca | Pieropan | Soave Classico DOC,,,,,,,,,
Λευκά,10+12 | Domaine de Kalathas | PGI Tinos,97,St. Obéissance white | Domaine de Kalathas | PGI Tinos,Lagotopos Single Vineyard “AG” | Domaine Michailidis | PGI Drama,Pieropan Soave La Rocca | Pieropan | Soave Classico DOC,,,,,,,,,
Λευκά,Alkar | Messarea Winery | PGI Tinos,53,Weingut Nigl | Gartling | Kremstal,Chenin Blanc | Bogle Vineyards | Clarksburg California,Chardonnay | Domaine Katsaros | PGI Crania,,,,,,,,,
Λευκά,Vasilissa | Makarounas Winery | PGI Paphos,43,Istine Toscano Bianco | Istine Winery | IGT Toscana,Theros | Theros Wine Collectiva | PGI Crete,Southern Ocean | Marlborough,,,,,,,,,
Λευκά,Pinot Grigio | Santa Margherita | DOC Alto Adige Italy,36,Diamantopetra | Diamantakis Winery | PGI Crete,Plano Assyrtiko | Wine Art Estate | PGI Drama,Crispy Assyrtiko | Muses Estate | PGI Thebes,,,,,,,,,
Λευκά,Soave Classico | Gini Winery | DOC Soave Classico Italy,40,Aspros Lagos Oak Barel | Douloufakis Estate | PGI Crete,Akrathos Assyrtiko | Newlands Winery | PGI Chalkidiki,Gustave Lorentz | Riesling | AOC Alsace,,,,,,,,,
Λευκά,Istine Toscano Bianco | Istine Winery | IGT Toscana,43,Vasilissa | Makarounas Winery | PGI Paphos,Theros | Theros Wine Collectiva | PGI Crete,Southern Ocean | Marlborough,,,,,,,,,
Λευκά,Pieropan Soave La Rocca | Pieropan | Soave Classico DOC,100,Roche-aux-Moines,Lagotopos Single Vineyard “AG” | Domaine Michailidis | PGI Drama,Urziger Wurzgarten GG | Dr. Loosen | Mosel,,,,,,,,,
Λευκά,Les Pierres Plates | Denis Jamain | Reuilly,35,Melissinos | Paterianakis Winery | PGI Crete,Arktos Pnoe | Arktos Elevation Vineyards | PGI Amyndeon,Sauvignon Blanc Kryovrisi | Domaine Hatzimichalis | PGI Atalanti Valley,,,,,,,,,
Λευκά,Baron de L | Domaine de Ladoucette | Pouilly Fume,249,Nykteri Grand Reserve | Sigalas Winery | PDO Santorini,Museum Collection | Domaine Gerovasiliou | PGI Epanomi,Gramina | Vassaltis Winery | PDO Santorini,,,,,,,,,
Λευκά,Sancerre Le Tournebride | Vincent Gaudry | A.O.C. Sancerre,75,Chablis 1er Cru ‘Les Fourneaux’| L&C Poilut | AC Chablis,Viogner Eclectique | Domaine Skouras | PGI Peloponnese,Montes| Outer Limits | DO Zapallar,,,,,,,,,
Λευκά,Domaine Champalou | Vouvray | Loire,47,Droumo | Kir-Yianni Estate | PGI Makedonia,Jules Taylor | SB | Marlborough,Vilana| Moinoterra | PGI Crete,,,,,,,,,
Λευκά,Château Climens Asphodele | Barsac Bordeaux,90,Ram’s Hill | Antinori | Marlborough,Vandenberg | Tatomer Vineyards | Santa Barbara,Sol de Sol | Vina Aquitania | Maipo Valley,,,,,,,,,
Λευκά,L’Exuberance | Clos Cantenac | St Emilion Bordeaux,55,Orange de Noir | Douraki Winery | PGI Crete,Seventeen | Aoton Winery | PGI Attica,Weingut Nigl | Gartling | Kremstal,,,,,,,,,
Λευκά,Roche-aux-Moines,101,Pieropan Soave La Rocca | Pieropan | Soave Classico DOC,Urziger Wurzgarten GG | Dr. Loosen | Mosel,Lagotopos Single Vineyard “AG” | Domaine Michailidis | PGI Drama,,,,,,,,,
Λευκά,Clarendelle Blanc By Haut-Brion | Clarence Dillon | Bordeaux,48,Chronos Xinomavro Blanc de Noir | Argyrakis Wines | Naoussa,Zakynthino | Sclavos Wines | PDO Cephalonia,Droumo | Kir-Yianni Estate | PGI Makedonia,,,,,,,,,
Λευκά,Les Cassagnes de la Nerthe Cote Du Rhône | Chateau la Nerthe | Rhône Valley,62,Vostilidi Orange | Sclavos Wines | PGI Slopes of Enos,Amayana | Garves Silva Vineyards | Leyda Valley,Rousanne | Manousakis Winery | PGI Crete,,,,,,,,,
Λευκά,Bourgogne Cote d’or | Domaine François Mikulski | Meursault,109,Vidiano| Single Vineyard | Karavitakis Winery | PGI Crete,Marko Terlegiz | Oxer Wines | Bizkaiko Txakolina | Spain,Golden Egg | Tony Bish Wines | Hawke’s Bay,,,,,,,,,
